Organ zgłaszający;Usługa pobierania ▴
Starosta Sokołowski;https://powiat-sokolowski.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Skierniewickiego;https://powiat-skierniewice.geoportal2.pl/map/geoportal/wfs.php
Starosta Przemyski;https://powiat-przemysl.geoportal2.pl/map/geoportal/wfs.php
Starosta Płocki;https://powiat-plock.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Otwockiego;https://powiat-otwocki.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Nowomiejskiego;https://powiat-nowomiejski.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Niżańskiego;https://powiat-nisko.geoportal2.pl/map/geoportal/wfs.php
Starosta Międzyrzecki;https://powiat-miedzyrzecki.geoportal2.pl/map/geoportal/wfse.php
Starosta Braniewski;https://powiat-braniewo.geoportal2.pl/map/geoportal/wfse.php
Prezydent Miasta Poznania;https://portal.geopoz.poznan.pl/wmsegib
Starosta Polkowicki;https://polkowicki-wms.webewid.pl/iip/ows
Starosta Płoński;https://plonski.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Piotrkowskiego;https://piotrkow.geoportal2.pl/map/geoportal/wfs.php
Starosta Pińczowski;https://pinczow.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Puckiego;https://pdp.puck.pl/iip/ows
Prezydent Miasta Gdyni;https://pc73.miasto.gdynia.pl/iip/ows
Starosta Powiatu Pajęczańskiego;https://pajeczno.geoportal2.pl/map/geoportal/wfs.php
Starosta Pabianicki;https://pabianice.geoportal2.pl/map/geoportal/wfse.php
Starosta Powiatu Oświęcimskiego;https://oswiecimski.webewid.pl:4422/iip/ows
Starosta Ostrowski;https://ostrowmaz.geoportal2.pl/map/geoportal/wfs.php
Starosta Ostrowiecki;https://ostrowiec.geoportal2.pl/map/geoportal/wfs.php
Prezydent Miasta Ostrołęki;https://ostroleka.geoportal2.pl/map/geoportal/wfs.php
Starosta Ostródzki;https://ostroda.geoportal2.pl/map/geoportal/wfse.php
Prezydent Miasta Rzeszowa;https://osrodek.erzeszow.pl/map/geoportal/wfs.php
Starosta Powiatu Opolskiego;https://opolelubelskie.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Opoczyńskiego;https://opoczno.geoportal2.pl/map/geoportal/wfs.php
Starosta Olkuski;https://olkuski.webewid.pl:4434/iip/ows
Starosta Powiatu Oleśnickiego;https://olesnicki.webewid.pl:4444/iip/ows
Starosta Nowotarski;https://nowotarski.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Nowodworskiego;https://nowodworski.webewid.pl:4444/iip/ows
Starosta Nakielski;https://nakielski.webewid.pl:62627/iip/ows
Prezydent Miasta Torunia;https://mtorun-wms.webewid.pl/iip/ows
Starosta Moniecki;https://monki.geoportal2.pl/map/geoportal/wfs.php
Starosta Mogileński;https://mogilenski.webewid.pl:4444/iip/ows
Starosta Milicki;https://milicki-wms.webewid.pl/iip/ows
Starosta Powiatu Mieleckiego;https://mielec.geoportal2.pl/map/geoportal/wfs.php
Starosta Miechowski;https://miechow.geoportal2.pl/map/geoportal/wfs.php
Burmistrz Miasta Cieszyna;https://miastocieszyn.geoportal2.pl/map/geoportal/wfs.php
Starosta Powiatu Strzeleckiego;https://mapy.powiatstrzelecki.pl/ggp
Prezydent Miasta Koszalina;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/3261
Starosta Powiatu Krotoszyńskiego;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/3012
Prezydent Miasta Sosnowiec;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/2475
Starosta Sztumski;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/2216
Starosta Suwalski;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/2012
Starosta Proszowicki;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/1214
Starosta Powiatu Myślenickiego;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/1209
Starosta Zduńskowolski;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/1019
